report_date,mall,media,campaign_id,campaign_name,impressions,clicks,cost,conversions,conversion_value
2024-05-14,cloop,meta,,[리타겟] ABO (off),276,0,2853.1,0.0,0.0
2024-05-14,cloop,meta,,[신규] ASC_애사비소다,9829,225,252014.22,15.0,345061.0
2024-05-15,cloop,meta,,[리타겟] ABO (off),2850,31,52160.23,0.0,0.0
2024-05-15,cloop,meta,,[신규] ASC_애사비소다,12542,498,500448.16,31.0,734610.0
2024-05-17,cloop,meta,,[리타겟] ABO (off),2159,11,51549.44,1.0,18900.0
2024-05-17,cloop,meta,,[신규] ASC_애사비소다,473,11,14795.95,0.0,0.0
2024-05-18,cloop,meta,,[리타겟] ABO (off),2058,18,52915.22,0.0,0.0
2024-05-18,cloop,meta,,[신규] ASC_애사비소다,16338,554,575094.32,54.0,1335700.0
2024-05-19,cloop,meta,,[리타겟] ABO (off),850,9,23845.53,0.0,0.0
2024-05-19,cloop,meta,,[신규] ASC_애사비소다,25135,891,735465.32,75.0,1724013.0
2024-05-20,cloop,meta,,[신규] ASC_애사비소다,27833,811,734917.36,43.0,1282054.0
2024-05-21,cloop,meta,,[신규] ASC_애사비소다,28395,843,797817.4,59.0,1760540.0
2024-05-22,cloop,meta,,[리타겟] ABO (off),0,0,0.0,0.0,0.0
2024-05-22,cloop,meta,,[신규] ASC_애사비소다,36129,1061,1041678.14,66.0,1899541.0
2024-05-23,cloop,meta,,[리타겟] ABO (off),0,0,0.0,1.0,34900.0
2024-05-23,cloop,meta,,[신규] ASC_애사비소다,30007,869,828510.37,47.0,1618800.0
2024-05-23,cloop,meta,,[신규] ASC_제로소다,2206,64,53593.99,2.0,47305.0
2024-05-24,cloop,meta,,[신규] ASC_애사비소다,30965,773,951185.43,49.0,1806800.0
2024-05-24,cloop,meta,,[신규] ASC_제로소다,7180,196,199117.54,8.0,254100.0
2024-05-25,cloop,meta,,[신규] ASC_애사비소다,30861,788,1003773.11,60.0,1902600.0
2024-05-25,cloop,meta,,[신규] ASC_제로소다,10148,216,204302.56,7.0,281000.0
2024-05-26,cloop,meta,,[신규] ASC_애사비소다,33825,939,1239024.08,100.0,3347600.0
2024-05-26,cloop,meta,,[신규] ASC_제로소다,10650,225,235467.27,14.0,619400.0
2024-05-27,cloop,meta,,[리타겟] ABO,300,9,13877.19,2.0,77700.0
2024-05-27,cloop,meta,,[신규] ASC_애사비소다,24194,580,1061728.12,61.0,1979400.0
2024-05-27,cloop,meta,,[신규] ASC_제로소다,12219,221,268568.38,16.0,677810.0
2024-05-28,cloop,meta,,[리타겟] ABO,851,11,30252.13,1.0,34900.0
2024-05-28,cloop,meta,,[신규] ASC_애사비소다,29955,654,1227386.11,75.0,2720100.0
