report_date,mall,media,campaign_id,campaign_name,impressions,clicks,cost,conversions,conversion_value
2025-08-07,sprint,meta,,FB_스프린트_참여_01,15084,31,33876.36,1.0,1.0
2025-08-08,sprint,meta,,FB_스프린트_참여_01,45914,256,95404.55,0.0,0.0
2025-08-09,sprint,meta,,FB_스프린트_참여_01,38206,224,80546.36,0.0,0.0
2025-08-10,sprint,meta,,FB_스프린트_참여_01,46676,336,95203.64,0.0,0.0
2025-08-25,sprint,meta,,FB_스프린트_판매_01,132126,2526,991076.36,79.0,3680700.0
2025-08-25,sprint,meta,,FB_스프린트_판매_02,109807,4183,535125.45,5.0,288500.0
2025-08-26,sprint,meta,,FB_스프린트_판매_01,198089,3597,1538455.45,89.0,4080900.0
2025-08-26,sprint,meta,,FB_스프린트_판매_02,57763,2325,273994.55,0.0,0.0
2025-08-27,sprint,meta,,FB_스프린트_판매_01,257819,2575,1577106.36,120.0,5217000.0
2025-08-27,sprint,meta,,FB_스프린트_판매_02,0,0,0.0,0.0,0.0
2025-08-27,sprint,meta,,FB_스프린트_판매_03,33863,209,257849.09,3.0,140700.0
2025-08-28,sprint,meta,,FB_스프린트_판매_01,234984,1965,1509110.91,97.0,4088500.0
2025-08-28,sprint,meta,,FB_스프린트_판매_02,0,0,0.0,0.0,0.0
2025-08-28,sprint,meta,,FB_스프린트_판매_03,32793,227,262065.45,5.0,219500.0
2025-08-28,sprint,meta,,FB_스프린트_판매_04,93206,741,585614.55,20.0,1012000.0
2025-08-29,sprint,meta,,FB_스프린트_판매_01,195506,1594,1461186.36,61.0,2590500.0
2025-08-29,sprint,meta,,FB_스프린트_판매_03,0,0,0.0,2.0,125800.0
2025-08-29,sprint,meta,,FB_스프린트_판매_04,40569,442,346940.91,19.0,693460.0
2025-08-29,sprint,meta,,FB_스프린트_판매_05,14127,183,226233.64,10.0,431900.0
2025-08-30,sprint,meta,,FB_스프린트_판매_01,148579,1336,1168476.36,56.0,2467251.0
2025-08-30,sprint,meta,,FB_스프린트_판매_04,28097,298,243879.09,17.0,580740.0
2025-08-30,sprint,meta,,FB_스프린트_판매_05,13043,158,198585.45,3.0,103600.0
2025-08-31,sprint,meta,,FB_스프린트_판매_01,136966,1359,1216736.36,61.0,2592052.0
2025-08-31,sprint,meta,,FB_스프린트_판매_02,0,0,0.0,0.0,0.0
2025-08-31,sprint,meta,,FB_스프린트_판매_03,0,0,0.0,2.0,67800.0
2025-08-31,sprint,meta,,FB_스프린트_판매_04,43165,461,377123.64,17.0,833200.0
