report_date,mall,media,campaign_id,campaign_name,landing,impressions,clicks,cost,conversions,conversion_value
2026-01-01,cloop,naver,,(S)PRO_스토어_벌크_쇼핑_MO,스마트스토어,3188,8,3564,3,80500
2026-01-01,cloop,naver,,(S)PRO_스토어_벌크_쇼핑_PC,스마트스토어,753,2,792,0,0
2026-01-01,cloop,naver,,클룹_SA_02_제로소다_MO,자사몰,3115,8,5038,1,34800
2026-01-01,cloop,naver,,클룹_SA_02_제로소다_PC,자사몰,627,2,715,0,0
2026-01-01,cloop,naver,,클룹_SBA_00_애사비소다_MO,기타,372,9,27027,3,92500
2026-01-01,cloop,naver,,클룹_SBA_01_제로소다_MO,기타,61,1,341,0,0
2026-01-01,cloop,naver,,클룹_SSA_01_애사비소다_250_MO,스마트스토어,5577,50,53812,11,299750
2026-01-01,cloop,naver,,클룹_SSA_01_애사비소다_250_PC,스마트스토어,114,1,924,0,0
2026-01-01,cloop,naver,,클룹_SSA_01_애사비소다_500_MO,스마트스토어,28221,557,755238,126,4280780
2026-01-01,cloop,naver,,클룹_SSA_01_애사비소다_500_PC,스마트스토어,885,8,9361,3,116500
2026-01-01,cloop,naver,,클룹_SSA_02_제로소다_250_MO,스마트스토어,1355,15,12452,4,77220
2026-01-01,cloop,naver,,클룹_SSA_02_제로소다_250_PC,스마트스토어,172,1,55,0,0
2026-01-01,cloop,naver,,클룹_SSA_02_제로소다_500_MO,스마트스토어,4990,64,62106,15,371850
2026-01-01,cloop,naver,,클룹_SSA_02_제로소다_500_PC,스마트스토어,811,9,9548,0,0
2026-01-01,cloop,naver,,클룹_SSA_03_바나바잎차_500_MO,스마트스토어,548,4,5599,1,20900
2026-01-01,cloop,naver,,클룹_SSA_03_바나바잎차_500_PC,스마트스토어,45,0,0,0,0
2026-01-01,cloop,naver,,클룹_SSA_04_바이탈_500_MO,스마트스토어,949,16,15081,2,61200
2026-01-01,cloop,naver,,클룹_SSA_04_바이탈_500_PC,스마트스토어,25,1,880,2,87000
2026-01-01,cloop,naver,,클룹_SSA_04_바이탈레몬_500_MO,스마트스토어,741,9,9317,3,139300
2026-01-01,cloop,naver,,클룹_SSA_04_바이탈레몬_500_PC,스마트스토어,158,0,0,0,0
2026-01-01,cloop,naver,,클룹_SSA_05_트루코코_330_MO,스마트스토어,1462,24,34353,4,90910
2026-01-01,cloop,naver,,클룹_SSA_05_트루코코_330_PC,스마트스토어,86,1,2079,0,0
2026-01-01,cloop,naver,,클룹_SSA_05_트루퓨어_MO,스마트스토어,609,2,1892,0,0
2026-01-01,cloop,naver,,클룹_SSA_05_트루퓨어_PC,스마트스토어,40,0,0,0,0
2026-01-01,cloop,naver,,클룹_SSA_06_알파CD사이다_350_MO,스마트스토어,128,3,6006,0,0
2026-01-01,cloop,naver,,클룹_SSA_06_알파CD사이다_350_PC,스마트스토어,5,0,0,0,0
2026-01-01,cloop,naver,,클룹_SSA_07_푸룬화이바_180_MO,스마트스토어,185,8,8800,2,45800
2026-01-01,cloop,naver,,클룹_SSA_07_푸룬화이바_180_PC,스마트스토어,9,0,0,0,0
2026-01-01,cloop,naver,,클룹_SSA_09_유자레몬사이다_500_MO,스마트스토어,1571,7,13970,2,52380
2026-01-01,cloop,naver,,클룹_SSA_09_유자레몬사이다_500_PC,스마트스토어,97,0,0,0,0
2026-01-01,cloop,naver,,클룹_브랜드검색_MO,스마트스토어,1671,832,0,221,11023970
2026-01-01,cloop,naver,,클룹_브랜드검색_PC,자사몰,89,44,0,12,794600
2026-01-01,cloop,naver,,클룹_파워링크_MO,스마트스토어,319,2,209,0,0
2026-01-01,cloop,naver,,클룹_파워링크_MO,자사몰,77831,145,119009,11,544900
2026-01-01,cloop,naver,,클룹_파워링크_PC,스마트스토어,228,0,0,0,0
2026-01-01,cloop,naver,,클룹_파워링크_PC,자사몰,9588,6,3762,2,108700
2026-01-02,cloop,naver,,(S)PRO_스토어_벌크_쇼핑_MO,스마트스토어,6366,17,7722,2,36840
2026-01-02,cloop,naver,,(S)PRO_스토어_벌크_쇼핑_PC,스마트스토어,1528,2,957,0,0
2026-01-02,cloop,naver,,클룹_SA_02_제로소다_MO,자사몰,2659,5,1870,1,82800
2026-01-02,cloop,naver,,클룹_SA_02_제로소다_PC,자사몰,891,1,693,0,0
2026-01-02,cloop,naver,,클룹_SBA_00_애사비소다_MO,기타,506,6,18018,0,0
2026-01-02,cloop,naver,,클룹_SBA_01_제로소다_MO,기타,39,1,1705,1,29200
2026-01-02,cloop,naver,,클룹_SSA_01_애사비소다_250_MO,스마트스토어,4247,49,52217,13,310500
2026-01-02,cloop,naver,,클룹_SSA_01_애사비소다_250_PC,스마트스토어,197,3,2255,1,29200
2026-01-02,cloop,naver,,클룹_SSA_01_애사비소다_500_MO,스마트스토어,23354,409,549153,76,2643670
2026-01-02,cloop,naver,,클룹_SSA_01_애사비소다_500_PC,스마트스토어,1733,26,30052,6,172470
2026-01-02,cloop,naver,,클룹_SSA_02_제로소다_250_MO,스마트스토어,1114,12,10846,3,61440
2026-01-02,cloop,naver,,클룹_SSA_02_제로소다_250_PC,스마트스토어,232,0,0,0,0
2026-01-02,cloop,naver,,클룹_SSA_02_제로소다_500_MO,스마트스토어,3975,41,41041,11,329910
2026-01-02,cloop,naver,,클룹_SSA_02_제로소다_500_PC,스마트스토어,1274,13,13750,6,141860
2026-01-02,cloop,naver,,클룹_SSA_03_바나바잎차_500_MO,스마트스토어,592,8,8085,2,63000
2026-01-02,cloop,naver,,클룹_SSA_03_바나바잎차_500_PC,스마트스토어,100,1,55,0,0
2026-01-02,cloop,naver,,클룹_SSA_04_바이탈_500_MO,스마트스토어,685,9,9097,3,116100
2026-01-02,cloop,naver,,클룹_SSA_04_바이탈_500_PC,스마트스토어,48,0,0,1,57700
2026-01-02,cloop,naver,,클룹_SSA_04_바이탈레몬_500_MO,스마트스토어,585,7,8008,2,83900
2026-01-02,cloop,naver,,클룹_SSA_04_바이탈레몬_500_PC,스마트스토어,203,1,2222,1,55460
2026-01-02,cloop,naver,,클룹_SSA_05_트루코코_330_MO,스마트스토어,1263,9,12683,4,88460
2026-01-02,cloop,naver,,클룹_SSA_05_트루코코_330_PC,스마트스토어,234,6,11583,1,22340
2026-01-02,cloop,naver,,클룹_SSA_05_트루퓨어_MO,스마트스토어,326,1,671,0,0
2026-01-02,cloop,naver,,클룹_SSA_05_트루퓨어_PC,스마트스토어,58,0,0,0,0
2026-01-02,cloop,naver,,클룹_SSA_06_알파CD사이다_350_MO,스마트스토어,136,2,3960,1,16450
