report_date,mall,media,campaign_id,campaign_name,landing,impressions,clicks,cost,conversions,conversion_value
2026-03-23,cloop,naver_gfa,,ASD_GFA_CLAC_트래픽_판매_상시_SS_260319_1,,1504,23,16875,2,69750
2026-03-23,cloop,naver_gfa,,ASD_GFA_CLAC_트래픽_판매_상시_SS_260319_2,,1826,17,16631,1,22110
2026-03-23,cloop,naver_gfa,,ASD_GFA_CLAF_트래픽_판매_상시_SS_260319_1,,2109,18,16932,0,0
2026-03-23,cloop,naver_gfa,,ASD_GFA_CLAF_트래픽_판매_상시_SS_260319_2,,1348,17,15311,2,83300
2026-03-23,cloop,naver_gfa,,ASD_GFA_CLALL_카탈로그_판매_상시_SS_250818,,3170,67,78314,7,178630
2026-03-23,cloop,naver_gfa,,ASD_GFA_CLMC_트래픽_판매_상시_SS_260319_1,,1872,18,17492,1,13900
2026-03-23,cloop,naver_gfa,,ASD_GFA_CLMC_트래픽_판매_상시_SS_260319_2,,2229,18,15311,1,29800
2026-03-24,cloop,naver_gfa,,ASD_GFA_CLAC_트래픽_판매_상시_SS_260319_1,,1376,26,17092,0,0
2026-03-24,cloop,naver_gfa,,ASD_GFA_CLAC_트래픽_판매_상시_SS_260319_2,,1782,26,17605,0,0
2026-03-24,cloop,naver_gfa,,ASD_GFA_CLAF_트래픽_판매_상시_SS_260319_1,,1583,18,17688,0,0
2026-03-24,cloop,naver_gfa,,ASD_GFA_CLAF_트래픽_판매_상시_SS_260319_2,,1705,28,17275,0,0
2026-03-24,cloop,naver_gfa,,ASD_GFA_CLALL_카탈로그_판매_상시_SS_250818,,4993,79,81569,3,85700
2026-03-24,cloop,naver_gfa,,ASD_GFA_CLMC_트래픽_판매_상시_SS_260319_1,,2098,20,18304,1,13900
2026-03-24,cloop,naver_gfa,,ASD_GFA_CLMC_트래픽_판매_상시_SS_260319_2,,3251,14,15675,0,0
2026-03-25,cloop,naver_gfa,,ASD_GFA_CLAC_트래픽_판매_상시_SS_260319_1,,1716,31,17486,1,25900
2026-03-25,cloop,naver_gfa,,ASD_GFA_CLAC_트래픽_판매_상시_SS_260319_2,,2101,26,16768,1,25900
2026-03-25,cloop,naver_gfa,,ASD_GFA_CLAF_트래픽_판매_상시_SS_260319_1,,1291,19,16831,0,0
2026-03-25,cloop,naver_gfa,,ASD_GFA_CLAF_트래픽_판매_상시_SS_260319_2,,1755,33,16519,1,25900
2026-03-25,cloop,naver_gfa,,ASD_GFA_CLAG_트래픽_판매_상시_SS_260325_1,,3031,38,34625,5,104500
2026-03-25,cloop,naver_gfa,,ASD_GFA_CLAG_트래픽_판매_상시_SS_260325_2,,2955,34,36571,2,40800
2026-03-25,cloop,naver_gfa,,ASD_GFA_CLALL_카탈로그_판매_상시_SS_250818,,4061,57,62717,12,412700
2026-03-25,cloop,naver_gfa,,ASD_GFA_CLMC_트래픽_판매_상시_SS_260319_1,,639,5,4531,1,40800
2026-03-25,cloop,naver_gfa,,ASD_GFA_CLMC_트래픽_판매_상시_SS_260319_2,,655,6,6344,0,0
2026-03-26,cloop,naver_gfa,,ASD_GFA_CLAC_트래픽_판매_상시_SS_260319_1,,1889,28,16949,1,51800
2026-03-26,cloop,naver_gfa,,ASD_GFA_CLAC_트래픽_판매_상시_SS_260319_2,,1963,25,17777,4,90600
