report_date,mall,media,campaign_id,campaign_name,landing,impressions,clicks,cost,conversions,conversion_value
2026-01-01,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,541,135,0,15,871100
2026-01-01,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,60,17,0,1,53900
2026-01-01,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1783,12,6061,2,47050
2026-01-01,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,3946,0,0,0,0
2026-01-01,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,47334,181,149380,26,874300
2026-01-01,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,33499,13,9977,3,172800
2026-01-01,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,665,12,1892,2,55800
2026-01-01,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,66,0,0,0,0
2026-01-02,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,576,140,0,17,907100
2026-01-02,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,67,23,0,6,495400
2026-01-02,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,5104,27,15312,0,0
2026-01-02,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,5611,0,0,0,0
2026-01-02,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,44350,200,174339,22,719810
2026-01-02,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,53511,39,29051,5,226300
2026-01-02,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,697,8,1221,0,0
2026-01-02,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,99,0,0,0,0
2026-01-03,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,657,122,0,18,908200
2026-01-03,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,60,19,0,3,109700
2026-01-03,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,5420,26,15092,5,150120
2026-01-03,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,5739,1,517,0,0
2026-01-03,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,44512,233,187352,29,972890
2026-01-03,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,39942,17,15499,1,29200
2026-01-03,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,786,5,1254,0,0
2026-01-03,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,76,0,0,0,0
2026-01-04,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,708,132,0,29,1509200
2026-01-04,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,51,14,0,3,152700
2026-01-04,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,2271,20,11693,2,46020
2026-01-04,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,4754,1,341,0,0
2026-01-04,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,50410,218,177353,20,648110
2026-01-04,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,38727,30,20460,3,167970
2026-01-04,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,870,7,2431,0,0
2026-01-04,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,71,0,0,0,0
2026-01-05,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,695,172,0,24,1437000
2026-01-05,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,91,32,0,8,678000
2026-01-05,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,2355,14,8107,3,50100
2026-01-05,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,5240,4,1848,1,8760
2026-01-05,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,50349,238,194667,38,1212370
2026-01-05,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,51741,37,25993,2,86700
2026-01-05,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,807,9,1232,2,150800
2026-01-05,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,118,0,0,0,0
2026-01-06,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,762,187,0,33,1708100
2026-01-06,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,121,48,0,11,841800
2026-01-06,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,2630,23,13035,3,62520
2026-01-06,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,5133,2,847,1,16420
2026-01-06,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,43331,197,146025,23,703070
2026-01-06,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,57995,41,29392,6,202720
2026-01-06,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,944,10,1122,3,178700
2026-01-06,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,143,3,2013,0,0
2026-01-07,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,550,129,0,16,973200
2026-01-07,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,103,41,0,4,314600
2026-01-07,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,2412,21,11682,2,31810
2026-01-07,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,6263,3,1463,1,16900
2026-01-07,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,32526,166,113729,33,965540
2026-01-07,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,64015,49,33341,5,170220
2026-01-07,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,735,7,957,0,0
2026-01-07,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,130,1,374,0,0
2026-01-08,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,675,169,0,39,2235800
2026-01-08,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,87,33,0,3,243700
2026-01-08,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,2211,12,6050,4,67990
2026-01-08,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,4539,1,517,0,0
2026-01-08,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,32813,162,109340,27,865510
2026-01-08,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,62164,29,18568,3,85540
2026-01-08,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,796,6,770,2,81800
2026-01-08,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,146,3,1089,0,0
2026-01-09,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,614,120,0,16,788400
2026-01-09,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,76,28,0,4,137600
2026-01-09,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1929,18,8118,3,56140
2026-01-09,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,4117,2,814,0,0
2026-01-09,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,34571,157,104181,36,1034150
2026-01-09,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,31516,19,14729,2,75820
2026-01-09,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,741,9,1815,1,27900
2026-01-09,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,117,0,0,0,0
2026-01-10,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,562,115,0,15,870400
2026-01-10,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,59,15,0,4,230600
2026-01-10,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,2070,14,8250,2,42780
2026-01-10,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,3946,0,0,0,0
2026-01-10,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,30566,139,94050,25,825650
2026-01-10,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,30864,27,19701,3,116200
2026-01-10,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,677,7,1254,0,0
2026-01-10,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,71,1,110,0,0
2026-01-11,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,525,125,0,16,747400
2026-01-11,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,47,13,0,1,53900
2026-01-11,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,2773,15,8723,3,44020
2026-01-11,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,4491,1,561,0,0
2026-01-11,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,34677,111,74965,26,779860
2026-01-11,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,18229,22,15323,3,75120
2026-01-11,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,691,7,2013,1,94900
2026-01-11,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,70,0,0,0,0
2026-01-12,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,584,142,0,18,926200
2026-01-12,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,103,41,0,14,764500
2026-01-12,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,2222,14,8052,3,73800
2026-01-12,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,6361,3,1573,0,0
2026-01-12,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,39526,133,89562,24,744110
2026-01-12,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,80087,50,33924,7,292230
2026-01-12,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,780,10,2211,1,53900
2026-01-12,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,151,1,792,0,0
2026-01-13,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,573,116,0,15,710400
2026-01-13,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,81,30,0,5,232500
2026-01-13,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,2017,15,7832,4,66800
2026-01-13,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,6458,2,638,1,13320
2026-01-13,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,40124,124,84733,22,773300
2026-01-13,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,76666,38,25894,2,84800
2026-01-13,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,716,11,2013,1,27900
2026-01-13,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,103,1,110,1,94900
2026-01-14,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,184,36,0,1,94900
2026-01-14,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,15,4,0,2,122800
2026-01-14,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,2088,21,10967,1,29900
2026-01-14,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,5873,4,2145,0,0
2026-01-14,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,36819,166,112145,26,902920
2026-01-14,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,84339,47,32219,6,235900
2026-01-14,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,846,38,4125,4,256600
2026-01-14,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,117,3,297,0,0
2026-01-15,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,545,111,0,22,1117700
2026-01-15,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,88,30,0,9,638100
2026-01-15,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1771,8,4510,0,0
2026-01-15,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,9023,4,1397,0,0
2026-01-15,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,32078,134,91674,21,748160
2026-01-15,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,73593,48,32989,5,179500
2026-01-15,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,685,12,924,1,53900
2026-01-15,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,136,1,88,0,0
2026-01-16,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,543,127,0,24,1599400
2026-01-16,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,78,25,0,4,256600
2026-01-16,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1686,13,7722,1,16900
2026-01-16,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,8005,1,451,0,0
2026-01-16,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,32852,101,69157,8,369100
2026-01-16,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,48876,35,24893,4,120600
2026-01-16,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,677,10,770,1,53900
2026-01-16,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,118,0,0,0,0
2026-01-17,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,512,105,0,15,868300
2026-01-17,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,65,23,0,4,338600
2026-01-17,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1595,9,5082,1,17900
2026-01-17,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,8048,0,0,0,0
2026-01-17,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,28741,114,76978,12,369640
2026-01-17,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,47633,8,5588,1,23320
2026-01-17,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,629,7,1078,1,94900
2026-01-17,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,75,1,792,0,0
2026-01-18,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,527,113,0,15,989400
2026-01-18,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,43,16,0,6,420400
2026-01-18,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1574,9,5192,0,0
2026-01-18,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,8077,0,0,0,0
2026-01-18,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,28780,134,92059,24,737220
2026-01-18,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,46835,25,18524,2,59800
2026-01-18,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,639,6,1276,0,0
2026-01-18,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,67,0,0,0,0
2026-01-19,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,507,106,0,12,905700
2026-01-19,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,84,32,0,5,351500
2026-01-19,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1696,8,4532,2,33800
2026-01-19,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,10230,2,968,0,0
2026-01-19,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,30379,111,76395,18,634200
2026-01-19,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,55643,28,18964,2,86800
2026-01-19,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,901,17,5379,1,27900
2026-01-19,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,111,1,110,0,0
2026-01-20,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,502,114,0,22,1340700
2026-01-20,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,77,34,0,9,689900
2026-01-20,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1734,11,5973,0,0
2026-01-20,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,7764,1,539,0,0
2026-01-20,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,31534,109,74393,13,454300
2026-01-20,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,62094,25,18029,1,17900
2026-01-20,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,719,12,2354,3,109700
2026-01-20,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,86,1,418,0,0
2026-01-21,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,468,118,0,13,783700
2026-01-21,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,82,24,0,1,31900
2026-01-21,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1709,12,6710,0,0
2026-01-21,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,6807,3,957,0,0
2026-01-21,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,32181,122,83501,16,551400
2026-01-21,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,76205,28,20339,6,266600
2026-01-21,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,573,9,2948,0,0
2026-01-21,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,101,2,979,0,0
2026-01-22,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,424,104,0,6,382400
2026-01-22,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,75,27,0,2,166800
2026-01-22,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1519,9,5533,3,107600
2026-01-22,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,6143,2,913,0,0
2026-01-22,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,23929,127,86031,22,793300
2026-01-22,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,49373,29,19580,4,174600
2026-01-22,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,509,6,836,0,0
2026-01-22,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,88,0,0,0,0
2026-01-23,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,388,78,0,3,305700
2026-01-23,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,77,13,0,0,0
2026-01-23,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1714,9,4928,3,51700
2026-01-23,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,6242,6,2387,0,0
2026-01-23,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,22900,109,73799,19,644900
2026-01-23,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,52937,31,19965,3,91400
2026-01-23,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,480,3,616,0,0
2026-01-23,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,100,0,0,0,0
2026-01-24,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,361,66,0,3,117700
2026-01-24,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,51,22,0,1,31900
2026-01-24,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1569,9,4873,0,0
2026-01-24,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,4811,1,341,0,0
2026-01-24,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,21777,88,58168,14,536600
2026-01-24,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_PC,스마트스토어,31091,23,15796,5,152500
2026-01-24,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_MO,자사몰,437,2,528,0,0
2026-01-24,sprint,naver,,NSA_에너지드링크_자사몰_파워링크_PC,자사몰,60,0,0,0,0
2026-01-25,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_MO,자사몰,379,60,0,6,310400
2026-01-25,sprint,naver,,NSA_스프린트_자사몰_브랜드검색_PC,자사몰,36,8,0,0,0
2026-01-25,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_MO,스마트스토어,1809,5,2772,0,0
2026-01-25,sprint,naver,,NSA_에너지드링크250_스토어_쇼핑검색_PC,스마트스토어,5303,1,561,0,0
2026-01-25,sprint,naver,,NSA_에너지드링크500_스토어_쇼핑검색_MO,스마트스토어,23521,99,67331,12,392700
